団体コード,都道府県,市区町村名,種類,URL,update,update_text
,,,ボランティアセンター,https://www.saigaivc.com,no update,
150002.0,新潟県,,社協,https://www.fukushiniigata.or.jp/,updated,"2024年01月12日 生活福祉資金貸付制度（緊急小口資金特例貸付）について
2024年01月12日生活福祉資金貸付制度（緊急小口資金特例貸付）について"
151009.0,新潟県,新潟市,社協,https://www.syakyo-niigatacity.or.jp/,no update,
151076.0,新潟県,新潟市西区,社協,https://niigatanishiku-syakyo.jp/,no update,
151076.0,新潟県,新潟市西区,ボランティアセンター,https://niigatanishiku-syakyo.jp/category/saibora/,no update,
152021.0,新潟県,長岡市,社協,http://www.nagaoka-shakyo.or.jp,updated,"2024.01.12
【栃尾】1/13（土）トチオ―レDEハッピーフェスタで令和６年能登半島地震災害義援金を受け付けます"
152048.0,新潟県,三条市,社協,https://sanjo-syakyo.jp/,updated,"令和６年能登半島地震関連被災地域のボランティア活動の情報重要新着情報！！2024-01-11令和６年度地域福祉推進校助成事業のご案内チェックNEW2024-01-10令和６年能登半島地震災害義援金の受付についてチェックNEW2024-01-10２月の卓球バレー体験会のご案内注目NEW2024-01-04１月の総合福祉センター『虹のマルシェ』についてオススメ2023-12-191月分の無料法律相談の予約が開始になりました
106681"
152056.0,新潟県,柏崎市,社協,https://www.syakyou.jp/,no update,
152064.0,新潟県,新発田市,社協,http://shibatashakyo.blog.fc2.com,updated,"令和6年能登半島地震による生活福祉資金「緊急小口資金」特例貸付について
新発田市社会福祉協議会では、令和６年能登半島地震（石川県・富山県・新潟県）おいて災害救助法が適用となった市区町村に住んでおられ、新発田市に避難された世帯に対し、生活福祉資金「緊急小口資金」特例貸付の相談を受け付けています
　〇 生活福祉資金「緊急小口資金」特例貸付の内容について　⇒　【チラシ】　〇 令和６年度能登半島地震　災害救助法適用地域　⇒　【こちら】
2024-01-12(金)
お知らせ (330)
令和6年能登半島地震による生活福祉資金「緊急小口資金」特例貸付について (01/12)
月度アーカイブ"
152081.0,新潟県,小千谷市,社協,https://oj-shakyo.jp/,no update,
152099.0,新潟県,加茂市,社協,https://www.city.kamo.niigata.jp/kenko/syafuku/,no update,
152102.0,新潟県,十日町市,社協,http://www.tkm-shakyo.or.jp/,no update,
152111.0,新潟県,見附市,社協,http://www.m-shakyo.net/,no update,
152129.0,新潟県,村上市,社協,https://murakamisyakyou.com/,no update,
152137.0,新潟県,燕市,社協,https://tbm-swc.jp/,no update,
152161.0,新潟県,糸魚川市,社協,https://www.i-shakyo.jp/,no update,
152170.0,新潟県,妙高市,社協,https://myoko-syakyo.jp/,updated,"妙高市社会福祉協議会からのお知らせTOPICS2024-01-11令和5年度災害ボランティア支援者養成講座について2024-01-09令和6年能登半島地震義援金を掲載しました
令和６年能登半島地震災害義援金(PDF)災害ボランティア支援者養成講座を開催します
　近年、各地で地震や風水害が発生しています
新潟県内でも地震、豪雨による家屋浸水や土砂崩れなどの被害があり、災害ボランティア活動が行われています
　本講座は、災害ボランティアの役割や基本的な知識、活動の心構えなどを理解するための、初心者でも参加できる講座です
お気軽にご参加ください！　日時：令和6年３月2日（土）9：30～12：00　会場：新井ふれあい会館（妙高市上町9番1号）　※災害ボランティア支援者養成講座チラシ"
152188.0,新潟県,五泉市,社協,http://www.gosen-syakyo.ecnet.jp/,no update,
152226.0,新潟県,上越市,社協,https://www.jouetushisyakyo.jp/,no update,
152234.0,新潟県,阿賀野市,社協,http://www.agano.net/shakyo/,no update,
152242.0,新潟県,佐渡市,社協,https://care-net.biz/15/sado-shakyo/,no update,
152251.0,新潟県,魚沼市,社協,https://www.uonuma-shakyo.or.jp/,no update,
152269.0,新潟県,南魚沼市,社協,https://www.mu-shakyo.or.jp/,no update,
152277.0,新潟県,胎内市,社協,http://tainai-syakyo.com/,no update,
153079.0,新潟県,聖籠町,社協,https://www.seiroumachi-syakyo.jp/,no update,
153427.0,新潟県,弥彦村,社協,https://www.yahiko-shakyo.com/,no update,
153613.0,新潟県,田上町,社協,https://care-net.biz/15/tagami-shakyo/,updated,"2024年1月12日
令和6年能登半島地震災害義援金を掲載しました"
153851.0,新潟県,阿賀町,社協,https://care-net.biz/15/agashakyo/,no update,
154059.0,新潟県,出雲崎町,社協,https://www.shakyo.or.jp/hp/index.php?s=773,no update,
154610.0,新潟県,湯沢町,社協,http://yuzawa-syakyo.jp/index.html,no update,
154822.0,新潟県,津南町,社協,https://tsunan-shakyo.or.jp/,no update,
155047.0,新潟県,刈羽村,社協,https://www.shakyo.or.jp/hp/777/,no update,
155811.0,新潟県,関川村,社協,http://www.fukuseki.or.jp/,no update,
160008.0,富山県,,社協,https://www.toyama-shakyo.or.jp/,updated,"NEW 2024年01月12日
令和６年能登半島地震における富山DWATの派遣について
NEW 2024年01月12日
令和５年度 保育の就活準備フェア 参加決定法人 当日資料様式
NEW 2024年01月12日
福利厚生センター講習会を更新しました
NEW 2024年01月12日
【とやま介テクセンター】土日相談・展示コーナーの一時閉鎖について
2024年01月05日
2024年01月05日"
162019.0,富山県,富山市,社協,https://www.toyamacity-shakyo.jp/,no update,
162019.0,富山県,富山市,ボランティアセンター,https://www.toyamacity-vc.jp/,updated,ボランティア活動保険の加入受付について2024.01.12掲載
162027.0,富山県,高岡市,社協,http://takaoka-shakyo.or.jp,no update,
162027.0,富山県,高岡市,ボランティアセンター,https://takaoka-vc.jimdofree.com,no update,
162043.0,富山県,魚津市,社協,https://uoshakyo.net/,updated,"2024.1.12
つくし学園園だより（R6.1月）"
