団体コード,都道府県,市区町村名,種類,URL,update
,,,ボランティアセンター,https://www.saigaivc.com,no update
150002.0,新潟県,,社協,https://www.fukushiniigata.or.jp/,updated
151009.0,新潟県,新潟市,社協,https://www.syakyo-niigatacity.or.jp/,updated
151076.0,新潟県,新潟市西区,社協,https://niigatanishiku-syakyo.jp/,updated
151076.0,新潟県,新潟市西区,ボランティアセンター,https://niigatanishiku-syakyo.jp/category/saibora/,updated
152021.0,新潟県,長岡市,社協,http://www.nagaoka-shakyo.or.jp,updated
152048.0,新潟県,三条市,社協,https://sanjo-syakyo.jp/,updated
152056.0,新潟県,柏崎市,社協,https://www.syakyou.jp/,updated
152064.0,新潟県,新発田市,社協,http://shibatashakyo.blog.fc2.com,new
152081.0,新潟県,小千谷市,社協,https://oj-shakyo.jp/,no update
152099.0,新潟県,加茂市,社協,https://www.city.kamo.niigata.jp/kenko/syafuku/,no update
152102.0,新潟県,十日町市,社協,http://www.tkm-shakyo.or.jp/,no update
152111.0,新潟県,見附市,社協,http://www.m-shakyo.net/,no update
152129.0,新潟県,村上市,社協,https://murakamisyakyou.com/,no update
152137.0,新潟県,燕市,社協,https://tbm-swc.jp/,updated
152161.0,新潟県,糸魚川市,社協,https://www.i-shakyo.jp/,no update
152170.0,新潟県,妙高市,社協,https://myoko-syakyo.jp/,no update
152188.0,新潟県,五泉市,社協,http://www.gosen-syakyo.ecnet.jp/,no update
152226.0,新潟県,上越市,社協,https://www.jouetushisyakyo.jp/,updated
152234.0,新潟県,阿賀野市,社協,http://www.agano.net/shakyo/,no update
152242.0,新潟県,佐渡市,社協,https://care-net.biz/15/sado-shakyo/,updated
152251.0,新潟県,魚沼市,社協,https://www.uonuma-shakyo.or.jp/,no update
152269.0,新潟県,南魚沼市,社協,https://www.mu-shakyo.or.jp/,no update
152277.0,新潟県,胎内市,社協,http://tainai-syakyo.com/,no update
153079.0,新潟県,聖籠町,社協,https://www.seiroumachi-syakyo.jp/,updated
153427.0,新潟県,弥彦村,社協,https://www.yahiko-shakyo.com/,no update
153613.0,新潟県,田上町,社協,https://care-net.biz/15/tagami-shakyo/,no update
153851.0,新潟県,阿賀町,社協,https://care-net.biz/15/agashakyo/,no update
154059.0,新潟県,出雲崎町,社協,https://www.shakyo.or.jp/hp/index.php?s=773,updated
154610.0,新潟県,湯沢町,社協,http://yuzawa-syakyo.jp/index.html,no update
154822.0,新潟県,津南町,社協,https://tsunan-shakyo.or.jp/,no update
155047.0,新潟県,刈羽村,社協,https://www.shakyo.or.jp/hp/777/,no update
155811.0,新潟県,関川村,社協,http://www.fukuseki.or.jp/,updated
160008.0,富山県,,社協,https://www.toyama-shakyo.or.jp/,updated
162019.0,富山県,富山市,社協,https://www.toyamacity-shakyo.jp/,no update
162019.0,富山県,富山市,ボランティアセンター,https://www.toyamacity-vc.jp/,no update
162027.0,富山県,高岡市,社協,http://takaoka-shakyo.or.jp,no update
162027.0,富山県,高岡市,ボランティアセンター,https://takaoka-vc.jimdofree.com,updated
162043.0,富山県,魚津市,社協,https://uoshakyo.net/,updated
162051.0,富山県,氷見市,社協,http://www.himi-shakyo.jp/,updated
162051.0,富山県,氷見市,ボランティアセンター,https://himivc-toyama.jimdofree.com/,updated
162078.0,富山県,黒部市,社協,https://www.kurobesw.com/,no update
162086.0,富山県,砺波市,社協,http://www.tonami-shakyo.or.jp/,no update
162094.0,富山県,小矢部市,社協,https://www.oyabe.or.jp/,updated
162108.0,富山県,南砺市,社協,https://nanto-shakyo.jp/,no update
162116.0,富山県,射水市,社協,http://www.imizushakyo.jp/,no update
163210.0,富山県,舟橋村,社協,http://www.funahashi-wel.or.jp/,no update
163228.0,富山県,上市町,社協,https://www.kamiichi-hearty.jp/,no update
163236.0,富山県,立山町,社協,https://www.tateyama-shakyo.jp/,no update
163422.0,富山県,入善町,社協,https://www.nyuzen-shakyo.org/,updated
163431.0,富山県,朝日町,社協,http://asahiwel.com/,updated
170003.0,石川県,,社協,https://www.isk-shakyo.or.jp/,updated
170003.0,石川県,,ボランティアセンター,https://prefvc-ishikawa.jimdofree.com/,updated
172014.0,石川県,金沢市,社協,https://www.kana-syakyo.jp/,no update
172022.0,石川県,七尾市,社協,https://nanaosyakyo.jp/,updated
172031.0,石川県,小松市,社協,https://www.komasya.com/,no update
172049.0,石川県,輪島市,社協,http://www.washakyo.com/,no update
172057.0,石川県,珠洲市,社協,http://suzushi-syakyo.or.jp/,no update
172057.0,石川県,珠洲市,ボランティアセンター,https://ishikawa-vc.jimdofree.com/,no update
172065.0,石川県,加賀市,社協,http://www.kagavc.jp/,no update
172065.0,石川県,加賀市,ボランティアセンター,https://kagavc-ishikawa.jimdofree.com/,no update
172073.0,石川県,羽咋市,社協,https://hakuisyakyo.jp/,updated
172073.0,石川県,羽咋市,ボランティアセンター,https://www.facebook.com/profile.php?id=100064760046856&locale=ja_JP,no update
172090.0,石川県,かほく市,社協,http://www.kahoku-shakyo.or.jp,no update
172103.0,石川県,白山市,社協,http://hakusanshi-syakyo.jp,updated
172111.0,石川県,能美市,社協,http://www.nomi-shakyo.jp/,updated
172120.0,石川県,野々市市,社協,https://nonoichi-shakyo.jp/index.html,no update
173614.0,石川県,津幡町,社協,https://tsubatashakyo.main.jp/,no update
173657.0,石川県,内灘町,社協,http://uchisyakyo.jp/,no update
173843.0,石川県,志賀町,社協,https://shika-shakyo.or.jp/,updated
173843.0,石川県,志賀町,ボランティアセンター,https://www.facebook.com/profile.php?id=61555475698199,no update
173860.0,石川県,宝達志水町,社協,http://www.houshi-shakyo.or.jp/,no update
174076.0,石川県,中能登町,社協,https://nakanoto-syakyou.sakura.ne.jp/,no update
174637.0,石川県,能登町,社協,http://noto-shakyo.jp/,updated
