団体コード,都道府県,市区町村名,種類,URL,update,update_text
,,,ボランティアセンター,https://www.saigaivc.com,no update,
150002.0,新潟県,,社協,https://www.fukushiniigata.or.jp/,updated,"2024年01月11日 令和6年能登半島地震に係るボランティア募集について
2024年01月11日令和6年能登半島地震に係るボランティア募集について"
151009.0,新潟県,新潟市,社協,https://www.syakyo-niigatacity.or.jp/,updated,"2024年01月11日
新潟市西区災害ボランティアセンター情報
2024年01月11日
新潟市西区災害ボランティアセンター情報
2024年01月11日
新潟市総合福祉会館　プール利用中止
2024年01月11日
新潟市総合福祉会館　プール利用中止
2024年01月11日
新潟市西区災害ボランティアセンター情報"
151076.0,新潟県,新潟市西区,社協,https://niigatanishiku-syakyo.jp/,updated,"2024.01.11
1月15日(月)～19日(金)のボランティアさんを募集いたします！"
151076.0,新潟県,新潟市西区,ボランティアセンター,https://niigatanishiku-syakyo.jp/category/saibora/,updated,"2024.01.11
1月15日(月)～19日(金)のボランティアさんを募集いたします！"
152021.0,新潟県,長岡市,社協,http://www.nagaoka-shakyo.or.jp,updated,"2024.01.11
「令和6年能登半島地震災害義援金」募集のお知らせ"
152048.0,新潟県,三条市,社協,https://sanjo-syakyo.jp/,updated,"令和６年能登半島地震関連被災地域のボランティア活動の情報重要新着情報！！2024-01-11令和６年度地域福祉推進校助成事業のご案内チェックNEW2024-01-10令和６年能登半島地震災害義援金の受付についてチェックNEW2024-01-10２月の卓球バレー体験会のご案内注目NEW2024-01-04１月の総合福祉センター『虹のマルシェ』についてオススメNEW2023-12-191月分の無料法律相談の予約が開始になりました
注目2023-11-29「こども食堂スタート応援助成プログラム」のご案内2023-11-27『社協だより』におけるお詫びと訂正NEW2023-11-21令和６年度共同募金配分金助成事業（環境整備助成事業）のご案内チェックRSS(別ウィンドウで開きます)もっと見る 総合福祉センターイベント情報12～’24.３月の虹のマルシェ卓球バレー体験会絵手紙作品展開催中バナー広告法人概要地　図社協だよりバックナンバー共同募金運動への協力三条市ボランティア連絡協議会Tweets by sanjosyakyo
106613"
152056.0,新潟県,柏崎市,社協,https://www.syakyou.jp/,updated,"重要なお知らせ
令和6年能登半島地震における柏崎市社会福祉協議会の対応について
2024年01月11日
令和6年4月採用予定の正職員の募集について
2024年01月11日
職員募集について
令和6年能登半島地震における柏崎市社会福祉協議会の対応について"
152064.0,新潟県,新発田市,社協,http://shibatashakyo.blog.fc2.com,new,
152081.0,新潟県,小千谷市,社協,https://oj-shakyo.jp/,no update,
